id,corpus,query,type
1,0,以为,1
1,2,以为,1
1,2,啊，--是啊,11
1,1,a了n,2
1,4,拿*来说w,6
1,2,n+v,2
1,1,n+v,2
2,0,再说，,1
2,0,更加~,8
2,0,更~--更加,11
2,0,这话说的,1
2,0,这话说的，,1
2,2,吃n,2
2,3,看把,1
2,2,无独有偶，,1
2,2,推而广之，,1
2,1,n+v,2
2,0,做n,2
2,0,v个v,2
2,3,北语,1
2,1,贸易战,1
2,3,n侠,2
2,0,怀疑人生,1
2,3,@侠,9
2,0,飘逸的n,2
2,2,吃..饭,7
2,2,v死r了,2
2,0,放着n不v,2
2,2,V你的N去,2
2,2,马不停蹄,1
2,2,怎么懂--不怎么懂,11
2,0,确实,1
2,0,着实,1
3,0,再说，,1
3,0,v了一番,2
3,0,v了一通,2
3,0,打,1
3,0,V了一通,2
3,3,打,1
3,2,不就V个N,2
3,0,哪有,1
3,1,攻坚战,1
3,1,想,1
3,5,攻坚战,1
3,0,认为,1
3,2,青n,2
4,0,a一些,2
4,2,见.都,7
4,2,艾灸,1
4,4,上火,1
4,4,艾灸,1
4,2,蛛丝马迹,1
4,0,v学生,2
4,0,./V破,3
4,1,V上N,2
4,0,寒n,2
4,0,寒v,2
4,1,V上V,2
4,0,寒a,2
4,1,V上a,2
4,0,寒./n,3
4,0,冷./n,3
4,0,冷./v,3
4,0,冷./a,3
4,0,寒./a,3
4,1,寒./v,3
4,1,冷./v,3
4,1,冷./n,3
4,1,寒./n,3
4,1,寒./a,3
4,1,冷./a,3
4,1,V上了v,2
4,1,V上了n,2
4,1,V上了a,2
4,0,辅导员,1
4,0,给,1
5,0,，还有，,1
5,0,被,1
5,1,V上,2
5,0,../n+风,3
5,2,./V破,3
5,2,不免--不免费,11
5,2,天马行空,1
5,0,开,1
6,1,当然,1
6,1,自然,1
6,0,~,8
6,2,寒./n,3
6,2,冷./n,3
6,2,冷./v,3
6,0,v了一气,2
6,0,v了一阵,2
6,2,冷./a,3
6,2,寒./a,3
6,3,寒./n,3
6,3,冷./n,3
6,3,冷./a,3
6,3,寒./a,3
6,3,冷./v,3
6,4,冷./v,3
6,4,寒./n,3
6,4,冷./n,3
6,4,冷./a,3
6,4,寒./a,3
6,0,你听我说，,1
6,0,V你个N,2
6,1,V你个N,2
6,0,我,1
6,5,吃醋,1
6,1,反复,1
6,1,再三,1
6,0,被/p,3
6,0,被V,2
7,0,请求,1
7,2,论它一论,1
7,2,闯它一闯,1
7,1,人脸识别,1
7,1,刷脸,1
7,0,按图索骥,1
7,0,这届,1
7,1,按图索骥,1
7,1,这届,1
7,2,按图索骥,1
7,2,这届,1
7,3,按图索骥,1
7,3,这届,1
7,4,这届,1
7,4,按图索骥,1
7,0,一字千金,1
7,1,一字千金,1
7,2,一字千金,1
7,3,一字千金,1
7,4,一字千金,1
7,4,朝三暮四,1
7,3,朝三暮四,1
7,2,朝三暮四,1
7,1,朝三暮四,1
7,0,朝三暮四,1
7,0,落花流水,1
7,1,落花流水,1
7,2,落花流水,1
7,3,落花流水,1
7,4,落花流水,1
7,4,一长一短,1
7,3,一长一短,1
7,2,一长一短,1
7,1,一长一短,1
7,0,一长一短,1
7,0,梗,1
7,0,千军万马,1
7,1,千军万马,1
7,1,梗,1
7,2,梗,1
7,3,梗,1
7,4,梗,1
7,5,梗,1
7,0,v梗,2
7,1,v梗,2
7,2,v梗,2
7,3,v梗,2
7,4,v梗,2
7,2,千军万马,1
7,3,千军万马,1
7,4,千军万马,1
7,0,n梗,2
7,1,n梗,2
7,2,n梗,2
7,3,n梗,2
7,4,n梗,2
7,2,./V破,3
7,2,v得呀--不可得,11
7,2,它一,1
7,0,一些a,2
7,3,v得呀--不可得,11
7,0,些a,2
7,0,a了一些,2
7,0,爱好,1
7,0,可是,1
7,0,a一些的n,2
7,0,送--送n ，,11
7,1,送--送n+，,11
7,3,送--送n+，,11
7,4,送--送n+，,11
7,2,它个,1
8,0,v一些,2
8,0,当然,1
8,0,艾灸,1
8,1,艾灸,1
8,1,当然,1
8,0,很n,2
8,2,安保n,2
9,2,满以为,1
9,2,满可,1
9,2,在n方面,2
9,0,恐怕,1
10,0,搞不好,1
10,1,再三,1
10,1,反复,1
10,0,弄不好,1
10,2,V开,2
10,5,开,1
10,2,开n,2
10,2,v了,2
10,0,嘛，,1
11,0,的话,1
11,2,游行示威,1
11,3,游行示威,1
11,1,游行示威,1
11,0,生肺病,1
11,0,生疮,1
11,0,生虱子,1
11,0,生癌,1
11,0,生冻疮,1
11,0,生肺炎,1
11,0,生痢疾,1
11,0,生痨病,1
11,0,生痱子,1
11,0,生毛病,1
11,0,生疟疾,1
11,0,生黄疸,1
11,0,生癞,1
11,0,生褥疮,1
11,0,生痔疮,1
11,0,生重病,1
11,0,生急病,1
11,0,生疥癣,1
11,1,生疮,1
11,1,生重病,1
11,1,生冻疮,1
11,1,生/v,3
11,0,自然,1
11,1,自然,1
11,5,叫,1
11,0,n+v,2
11,1,彻底v,2
11,3,河南人,1
11,3,东北人,1
11,3,安徽人,1
11,3,江苏人,1
11,3,上海人,1
11,3,广东人,1
11,3,砖家,1
11,3,叫兽,1
11,3,妓者,1
11,3,菊长,1
11,3,娘炮,1
11,3,gay,2
11,3,同性恋,1
12,0,定然,1
12,1,定然,1
12,1,断然,1
12,0,断然,1
12,0,决然,1
12,1,决然,1
12,0,V掉,2
12,0,加以,1
12,1,加以,1
12,3,加以,1
12,4,加以,1
12,0,v老百姓,2
12,3,v老百姓,2
12,1,../a+而+../a,3
13,1,../a+而+./a,3
13,5,文献,1
13,5,目录,1
13,5,增损,1
13,5,著述,1
13,5,述作,1
13,2,又a又a,2
13,2,难免,1
13,2,难怪,1
13,0,并,1
13,1,并,1
13,2,../n,3
13,4,v死了w,2
13,0,彻底,1
13,0,v死了--v死了w,11
13,1,v死了--v死了w,11
13,4,v死了--v死了w,11
13,0,不要V,2
13,2,玩个痛快,1
13,2,n+比+n+a,2
14,2,捧n,2
14,2,抬举n,2
14,2,把n捧,2
14,2,呀，,1
14,2,自屋中,1
14,0,你说*就*,6
14,2,什么,1
14,0,n比n,2
14,0,n比v,2
14,5,傍,1
15,2,不是我说你,1
15,2,未来..中,7
15,3,未来..中,7
15,2,把*捧上*,6
15,2,把*捧,6
15,2,捧*n,6
15,2,捧n,2
15,3,里.气,7
15,2,里.气,7
15,0,的.比,7
15,0,里..,7
15,2,里巴,1
15,0,不是我说你,1
16,0,n上,2
16,1,n上,2
16,2,n上,2
16,0,诚然,1
16,1,诚然,1
16,1,纯然,1
16,0,纯然,1
16,2,一般的,1
16,2,不是一般的,1
16,2,并非一般的,1
16,2,不是一般地,1
16,2,不是一般滴,1
16,2,是相当地,1
16,2,是非常的,1
16,0,比..的,7
16,0,徒然,1
16,1,徒然,1
16,2,上n,2
16,2,不是一点,1
16,2,不...甚至,7
16,2,不是...甚至,7
16,2,不...反而,7
16,2,晕菜,1
16,2,歇菜,1
17,2,深刻化,1
17,2,尝试看看,1
17,2,一+n+比一+n,2
17,0,是,1
17,0,不是,1
17,0,去,1
17,0,不去,1
17,0,向*中V,6
17,1,向*中V--中学,11
18,2,一大,1
18,1,V向*中--中国,11
18,0,打脸,1
18,2,无效化,1
18,2,图像化,1
18,2,吃看看,1
18,2,检查看看,1
18,2,交往看看,1
18,2,商量看看,1
18,2,商量商量看,1
18,0,一v一个,2
18,0,一~一个--唯一,11
18,0,一@一个,9
18,2,一v一个,2
19,2,一v一个a,2
19,2,一v一个v,2
19,2,一v一q+n,2
19,0,n+v+n,2
19,2,一q+一q+n,2
19,2,模型化,1
19,2,最小化,1
19,2,理论化,1
19,2,平均化,1
19,2,最大化--合物,11
19,3,贼a,2
19,3,贼ad,2
19,3,贼n,2
