query,times
活活[a+v]死,14
r的n[，+。],11
v过一q+n+[，+。],10
v不起n[，+。],9
把r+v住[，+。],8
把r+v+v[，+。],8
被r+v了[，+。],8
一v+m+q[，+。],8
v+r的n[，+。],8
d+v[，+。],8
很多n[，+。],8
没v过[，+。],7
各v各的[，+。],7
v不v+n[，+。],7
v不a+n[，+。],7
p+我+v[，+。],7
v到n[，+。],7
没v过n[，+。],7
一个n[，+。],7
p+n+d+a[，+。],7
d+v+a[，+。],7
d+m[，+。],7
相对a[，+。],7
相当a[，+。],7
特别a[，+。],7
过于a[，+。],7
极度a[，+。],7
极其a[，+。],7
故意v+a[，+。],7
故意v+v[，+。],7
故意v+n[，+。],7
故意v+u[，+。],7
故意v+y[，+。],7
赶紧v[，+。],7
高度v[，+。],7
淡/a+[n+v+a],7
大v一q[，+。],6
是a的[，+。],6
v了a+n[，+。],6
这一v+[，+。],6
v什么n[，+。],6
v不上n[，+。],6
v不完的n[，+。],6
a+得m[，+。],6
那+n[，+。],6
这么a[，+。],6
外国n[，+。],6
各种n[，+。],6
多少n[，+。],6
好多n[，+。],6
那个n[，+。],6
不少n[，+。],6
不够a[，+。],6
啥n都v[，+。],6
v队[，+。],6
[，+。]n越a,6
[，+。]n们,6
持续a[，+。],6
男n[，+。],6
a时[，+。],6
v都不v[，+。],6
v下n[，+。],6
v完n[，+。],6
没n+v[，+。],6
每个n[，+。],6
说v就v[，+。],6
v于n[，+。],6
n[网络游戏+网游+手游+手机游戏],6
n的[网络游戏+网游+手游+手机游戏],6
[网络游戏+网游+手游+手机游戏]n,6
[二+两]+q+n,5
起了[起+一起],5
w丑.美[q+r+d+c+v+a++n+m++p]w,5
w出.进[q+r+d+c+v+a++n+m++p]w,5
w出.入[q+r+d+c+v+a++n+m++p]w,5
w雌.雄[q+r+d+c+v+a++n+m++p]w,5
w此.彼[q+r+d+c+v+a++n+m++p]w,5
w粗.细[q+r+d+c+v+a++n+m++p]w,5
w存.亡[q+r+d+c+v+a++n+m++p]w,5
w错.对[q+r+d+c+v+a++n+m++p]w,5
w答.问[q+r+d+c+v+a++n+m++p]w,5
w大.小[q+r+d+c+v+a++n+m++p]w,5
w单.双[q+r+d+c+v+a++n+m++p]w,5
w淡.浓[q+r+d+c+v+a++n+m++p]w,5
w得.失[q+r+d+c+v+a++n+m++p]w,5
w内.外[q+r+d+c+v+a++n+m++p]w,5
w优.劣[q+r+d+c+v+a++n+m++p]w,5
w早.晚[q+r+d+c+v+a++n+m++p]w,5
w香.臭[q+r+d+c+v+a++n+m++p]w,5
w利.害[q+r+d+c+v+a++n+m++p]w,5
w利.弊[q+r+d+c+v+a++n+m++p]w,5
w公.私[q+r+d+c+v+a++n+m++p]w,5
w攻.守[q+r+d+c+v+a++n+m++p]w,5
w张.弛[q+r+d+c+v+a++n+m++p]w,5
w稀.稠[q+r+d+c+v+a++n+m++p]w,5
w兴.废[q+r+d+c+v+a++n+m++p]w,5
w呼.吸[q+r+d+c+v+a++n+m++p]w,5
w宽.严[q+r+d+c+v+a++n+m++p]w,5
w宽.窄[q+r+d+c+v+a++n+m++p]w,5
w抑.扬[q+r+d+c+v+a++n+m++p]w,5
w推.拉[q+r+d+c+v+a++n+m++p]w,5
w仰.俯[q+r+d+c+v+a++n+m++p]w,5
w褒.贬[q+r+d+c+v+a++n+m++p]w,5
w起.落[q+r+d+c+v+a++n+m++p]w,5
w勤.懒[q+r+d+c+v+a++n+m++p]w,5
w方.圆[q+r+d+c+v+a++n+m++p]w,5
w增.减[q+r+d+c+v+a++n+m++p]w,5
w背.向[q+r+d+c+v+a++n+m++p]w,5
w繁.简[q+r+d+c+v+a++n+m++p]w,5
w刚.柔[q+r+d+c+v+a++n+m++p]w,5
w赏.罚[q+r+d+c+v+a++n+m++p]w,5
w祸.福[q+r+d+c+v+a++n+m++p]w,5
w密.疏[q+r+d+c+v+a++n+m++p]w,5
w幼.老[q+r+d+c+v+a++n+m++p]w,5
w学.教[q+r+d+c+v+a++n+m++p]w,5
w治.乱[q+r+d+c+v+a++n+m++p]w,5
w夕.朝[q+r+d+c+v+a++n+m++p]w,5
w福.祸[q+r+d+c+v+a++n+m++p]w,5
w谐.庄[q+r+d+c+v+a++n+m++p]w,5
w中.外[q+r+d+c+v+a++n+m++p]w,5
w安.危[q+r+d+c+v+a++n+m++p]w,5
w清.浊[q+r+d+c+v+a++n+m++p]w,5
w贵.贱[q+r+d+c+v+a++n+m++p]w,5
w外.内[q+r+d+c+v+a++n+m++p]w,5
w劣.优[q+r+d+c+v+a++n+m++p]w,5
w晚.早[q+r+d+c+v+a++n+m++p]w,5
w臭.香[q+r+d+c+v+a++n+m++p]w,5
w害.利[q+r+d+c+v+a++n+m++p]w,5
w弊.利[q+r+d+c+v+a++n+m++p]w,5
w私.公[q+r+d+c+v+a++n+m++p]w,5
w守.攻[q+r+d+c+v+a++n+m++p]w,5
w弛.张[q+r+d+c+v+a++n+m++p]w,5
w稠.稀[q+r+d+c+v+a++n+m++p]w,5
w废.兴[q+r+d+c+v+a++n+m++p]w,5
w吸.呼[q+r+d+c+v+a++n+m++p]w,5
w窄.宽[q+r+d+c+v+a++n+m++p]w,5
w扬.抑[q+r+d+c+v+a++n+m++p]w,5
w恩.仇[q+r+d+c+v+a++n+m++p]w,5
w俯.仰[q+r+d+c+v+a++n+m++p]w,5
w和.战[q+r+d+c+v+a++n+m++p]w,5
w贬.褒[q+r+d+c+v+a++n+m++p]w,5
w落.起[q+r+d+c+v+a++n+m++p]w,5
w懒.勤[q+r+d+c+v+a++n+m++p]w,5
w圆.方[q+r+d+c+v+a++n+m++p]w,5
w减.增[q+r+d+c+v+a++n+m++p]w,5
w向.背[q+r+d+c+v+a++n+m++p]w,5
w简.繁[q+r+d+c+v+a++n+m++p]w,5
w柔.刚[q+r+d+c+v+a++n+m++p]w,5
w罚.赏[q+r+d+c+v+a++n+m++p]w,5
w疏.密[q+r+d+c+v+a++n+m++p]w,5
w老.幼[q+r+d+c+v+a++n+m++p]w,5
w教.学[q+r+d+c+v+a++n+m++p]w,5
w乱.治[q+r+d+c+v+a++n+m++p]w,5
w朝.夕[q+r+d+c+v+a++n+m++p]w,5
w庄.谐[q+r+d+c+v+a++n+m++p]w,5
w外.中[q+r+d+c+v+a++n+m++p]w,5
w危.安[q+r+d+c+v+a++n+m++p]w,5
w浊.清[q+r+d+c+v+a++n+m++p]w,5
w贱.贵[q+r+d+c+v+a++n+m++p]w,5
w低.高[q+r+d+c+v+a++n+m++p]w,5
w敌.友[q+r+d+c+v+a++n+m++p]w,5
w地.天[q+r+d+c+v+a++n+m++p]w,5
w东.西[q+r+d+c+v+a++n+m++p]w,5
w动.静[q+r+d+c+v+a++n+m++p]w,5
w短.长[q+r+d+c+v+a++n+m++p]w,5
w断.续[q+r+d+c+v+a++n+m++p]w,5
w对.错[q+r+d+c+v+a++n+m++p]w,5
w多.少[q+r+d+c+v+a++n+m++p]w,5
w恶.善[q+r+d+c+v+a++n+m++p]w,5
w恩.怨[q+r+d+c+v+a++n+m++p]w,5
w反.正[q+r+d+c+v+a++n+m++p]w,5
w放.收[q+r+d+c+v+a++n+m++p]w,5
w分.合[q+r+d+c+v+a++n+m++p]w,5
w浮.沉[q+r+d+c+v+a++n+m++p]w,5
w富.贫[q+r+d+c+v+a++n+m++p]w,5
w富.穷[q+r+d+c+v+a++n+m++p]w,5
w甘.苦[q+r+d+c+v+a++n+m++p]w,5
w干.湿[q+r+d+c+v+a++n+m++p]w,5
w高.矮[q+r+d+c+v+a++n+m++p]w,5
w高.低[q+r+d+c+v+a++n+m++p]w,5
w古.今[q+r+d+c+v+a++n+m++p]w,5
w关.开[q+r+d+c+v+a++n+m++p]w,5
w果.因[q+r+d+c+v+a++n+m++p]w,5
w好.歹[q+r+d+c+v+a++n+m++p]w,5
w好.坏[q+r+d+c+v+a++n+m++p]w,5
w合.分[q+r+d+c+v+a++n+m++p]w,5
w黑.白[q+r+d+c+v+a++n+m++p]w,5
w恨.爱[q+r+d+c+v+a++n+m++p]w,5
w横.竖[q+r+d+c+v+a++n+m++p]w,5
w横.纵[q+r+d+c+v+a++n+m++p]w,5
w后.前[q+r+d+c+v+a++n+m++p]w,5
w厚.薄[q+r+d+c+v+a++n+m++p]w,5
w活.死[q+r+d+c+v+a++n+m++p]w,5
w饥.饱[q+r+d+c+v+a++n+m++p]w,5
w吉.凶[q+r+d+c+v+a++n+m++p]w,5
w急.缓[q+r+d+c+v+a++n+m++p]w,5
w加.减[q+r+d+c+v+a++n+m++p]w,5
w假.真[q+r+d+c+v+a++n+m++p]w,5
w奸.忠[q+r+d+c+v+a++n+m++p]w,5
w减.加[q+r+d+c+v+a++n+m++p]w,5
w降.升[q+r+d+c+v+a++n+m++p]w,5
w今.古[q+r+d+c+v+a++n+m++p]w,5
w紧.松[q+r+d+c+v+a++n+m++p]w,5
w进.退[q+r+d+c+v+a++n+m++p]w,5
w近.远[q+r+d+c+v+a++n+m++p]w,5
w静.动[q+r+d+c+v+a++n+m++p]w,5
w旧.新[q+r+d+c+v+a++n+m++p]w,5
w聚.散[q+r+d+c+v+a++n+m++p]w,5
w开.关[q+r+d+c+v+a++n+m++p]w,5
w哭.笑[q+r+d+c+v+a++n+m++p]w,5
w苦.甘[q+r+d+c+v+a++n+m++p]w,5
w苦.甜[q+r+d+c+v+a++n+m++p]w,5
w快.慢[q+r+d+c+v+a++n+m++p]w,5
w亏.盈[q+r+d+c+v+a++n+m++p]w,5
w来.去[q+r+d+c+v+a++n+m++p]w,5
w老.少[q+r+d+c+v+a++n+m++p]w,5
w冷.热[q+r+d+c+v+a++n+m++p]w,5
w里.外[q+r+d+c+v+a++n+m++p]w,5
w露.藏[q+r+d+c+v+a++n+m++p]w,5
w买.卖[q+r+d+c+v+a++n+m++p]w,5
w卖.买[q+r+d+c+v+a++n+m++p]w,5
w慢.快[q+r+d+c+v+a++n+m++p]w,5
w忙.闲[q+r+d+c+v+a++n+m++p]w,5
w美.丑[q+r+d+c+v+a++n+m++p]w,5
w明.暗[q+r+d+c+v+a++n+m++p]w,5
w末.首[q+r+d+c+v+a++n+m++p]w,5
w暮.朝[q+r+d+c+v+a++n+m++p]w,5
w男.女[q+r+d+c+v+a++n+m++p]w,5
w南.北[q+r+d+c+v+a++n+m++p]w,5
w逆.顺[q+r+d+c+v+a++n+m++p]w,5
w浓.淡[q+r+d+c+v+a++n+m++p]w,5
w女.男[q+r+d+c+v+a++n+m++p]w,5
w胖.瘦[q+r+d+c+v+a++n+m++p]w,5
w贫.富[q+r+d+c+v+a++n+m++p]w,5
w仆.主[q+r+d+c+v+a++n+m++p]w,5
w前.后[q+r+d+c+v+a++n+m++p]w,5
w浅.深[q+r+d+c+v+a++n+m++p]w,5
w强.弱[q+r+d+c+v+a++n+m++p]w,5
w轻.重[q+r+d+c+v+a++n+m++p]w,5
w穷.富[q+r+d+c+v+a++n+m++p]w,5
w曲.直[q+r+d+c+v+a++n+m++p]w,5
w去.来[q+r+d+c+v+a++n+m++p]w,5
w热.冷[q+r+d+c+v+a++n+m++p]w,5
w入.出[q+r+d+c+v+a++n+m++p]w,5
w软.硬[q+r+d+c+v+a++n+m++p]w,5
w弱.强[q+r+d+c+v+a++n+m++p]w,5
w散.聚[q+r+d+c+v+a++n+m++p]w,5
w善.恶[q+r+d+c+v+a++n+m++p]w,5
w上.下[q+r+d+c+v+a++n+m++p]w,5
w少.多[q+r+d+c+v+a++n+m++p]w,5
w少.老[q+r+d+c+v+a++n+m++p]w,5
w深.浅[q+r+d+c+v+a++n+m++p]w,5
w升.降[q+r+d+c+v+a++n+m++p]w,5
w生.熟[q+r+d+c+v+a++n+m++p]w,5
w生.死[q+r+d+c+v+a++n+m++p]w,5
w胜.败[q+r+d+c+v+a++n+m++p]w,5
w盛.衰[q+r+d+c+v+a++n+m++p]w,5
w失.得[q+r+d+c+v+a++n+m++p]w,5
w湿.干[q+r+d+c+v+a++n+m++p]w,5
