query,ground,type,result,correct
包含'汉语常用词词频表'的句子,汉语常用词词频表,1,汉语常用词,
汉语常用词词频表,汉语常用词词频表,101,汉词频表,
长长的堤坝或防洪设施。,长堤,1,长长的堤防,
照顾小孩和老人。,携幼扶老,1,照顾+小孩/n+老人,
行为或风格古怪。,古古怪怪,1,古怪,
动作轻柔，不发出声音。,轻脚轻手,1,摸,
包含'说来话长'的句子,说来话长,1,说说话长,
说来话长,说来话长,101,话说回来,
包含重要的是后接空格的句子,重要的是 ,1,重要的是+,
描述回忆过去事件或情景的句子,回忆,1,记得到,
描述出版书籍、文章或其他作品的过程或结果,出版,1,出版+作品/n+写,
描述生命与和谐共存的关系或状态,生，和谐,1,生命和谐,
生，和谐,生，和谐,101,生/v 和谐,
强调重要信息重复三次,重要的事情说三遍,1,重要 (n) 。{count($1)=3},
重要的事情说三遍,重要的事情说三遍,101,重要+事情/n+说+三+遍/v,
一种珍贵的宝石，常用于形容事物的珍贵或美丽。,翡翠,1,珍珠,
数字或序数词与'堆'的组合，可能指数量上的第一组或序列。,第一堆,1,头堆,
可能指代喜欢韩国文化、艺术、音乐等的群体，前后两个'哈韩族'可能用于强调或区分。,哈韩族+哈韩族,1,哈韩族韩粉,
动词后接介词，表示以人权为某种目的或基础。,人权以,1,v人权以,
包含坏的句子,坏,1,坏.,
河流名称，位于中国陕西省,汉江,1,陕西省 河流/n 河,
动词+茶，表示品茶或感叹饮茶之事,叹茶,1,茶是,
动词+来，表示到来或带来,开来,1,进来,
包含'中国和马来西亚'这个词语的句子,中国和马来西亚,1,中国/ns+和+马来西亚/ns,
中国和马来西亚,中国和马来西亚,101,中国/ns+马来西亚,
可能描述物体表面有斑点、不平整的状态，或者比喻经历丰富、留下痕迹。,斑斑,1,斑驳,
表示除了前面提到的内容之外，还有和谐这一共同点。,以及和谐,1,除了...和谐,
表示虽然存在困难或挑战，但仍有解决的可能性。,也未可,1,虽难但可,
与品鉴、评价相关的行为或描述,品味,1,评酒,
描述中庸之道或和谐状态的句子,中庸和谐,1,调和,
历史时期、时代变迁或文化背景相关的句子,时代,1,古代,
表示惊叹或疑问的语气词，用于口语交流,呀，,1,呀？,
表示接下来要说或解释的内容,那说来,1,再说一遍,
表示似乎更愿意选择某种方式或结果,似乎宁愿,1,似乎更愿意,
用于评价或反思某人的言论,这话说的,1,评说,
表示事物之间的联系或关联。,相关,1,乎连,
表示对某观点或陈述的同意或引用，用于进一步说明或展开话题。,照这样说,1,说的好！,
表示在国际关系、外交政策或其他领域中追求和平、合作和友好交往的目标。,和谐对外,1,和平外交,
作为连接词，表示并列、同时或综合的关系，用于连接概念、事物或动作。,及,1,既...又...,
不协调、不合拍的状态,不着调,1,不和谐,
加强国家稳定和安全的措施或目标,安邦定国+安邦定国,1,保安全,
箱子或袋子,箱包,1,包,
表面上看起来愿意,似乎愿意,1,表面上看起来愿意,
未知含义,处置,1,搞了,
未知含义,处置,1,搞了,
未知含义,处置,1,搞了,
未知含义,处置,1,炸了,
生活之后接和谐,生活和谐,1,生活/vn+和谐,
"包含""水一程，""的句子",水一程，,1,"水一程，""",
单个词语,尊重科学,1,诚心,
单个词语,尊重科学,1,脸孔,
单个词语,尊重科学,1,联系,
单个词语,尊重科学,1,大概,
包含‘面子’重复出现两次的句子,面子不面子,1,面子面子,1
以‘唱’开头，以‘歌’结尾的句子,唱 歌,1,唱+歌/n,
单独的词汇，可能出现在句子中,白旗,1,退休,
单独的词汇，可能出现在句子中,白旗,1,套,
单独的词汇，可能出现在句子中,白旗,1,份儿,
单字短句，句首为结合，在之间有空格,结合在,1,combined,
半天后邻了,了半天,1,半天后邻了,1
飞扬后邻飞扬,飞飞扬扬,1,飞扬/v+飞扬,
通常用来指代特定事物的常见名称或通俗说法,俗称,1,叫兽,
