epoch,loss
0.0,4.4246
0.01,4.149
0.01,3.8568
0.01,3.2242
0.01,2.5742
0.02,2.4177
0.02,1.837
0.02,1.7603
0.02,1.6357
0.03,1.7417
0.03,1.2388
0.03,1.3188
0.03,1.0947
0.04,0.9032
0.04,0.9564
0.04,1.2009
0.04,0.8772
0.05,0.8227
0.05,0.9412
0.05,0.755
0.06,0.964
0.06,0.9268
0.06,0.8787
0.06,0.8727
0.07,0.8762
0.07,0.7634
0.07,0.7794
0.07,0.6865
0.08,0.8277
0.08,0.6022
0.08,0.7267
0.08,0.7023
0.09,0.7422
0.09,0.6383
0.09,0.654
0.09,0.7075
0.1,0.577
0.1,0.6683
0.1,0.6933
0.11,0.7852
0.11,0.643
0.11,0.506
0.11,0.7833
0.12,0.627
0.12,0.7634
0.12,0.6126
0.12,0.4627
0.13,0.7575
0.13,0.5424
0.13,0.6602
0.13,0.6338
0.14,0.6447
0.14,0.5913
0.14,0.5643
0.14,0.558
0.15,0.7173
0.15,0.712
0.15,0.5383
0.16,0.6533
0.16,0.6145
0.16,0.5716
0.16,0.6375
0.17,0.6598
0.17,0.4824
0.17,0.8286
0.17,0.6227
0.18,0.5153
0.18,0.6717
0.18,0.6497
0.18,0.6606
0.19,0.4964
0.19,0.6008
0.19,0.4857
0.19,0.6379
0.2,0.5655
0.2,0.6166
0.2,0.5798
0.21,0.5106
0.21,0.5427
0.21,0.5686
0.21,0.5662
0.22,0.5542
0.22,0.4787
0.22,0.5592
0.22,0.6587
0.23,0.6796
0.23,0.4192
0.23,0.5107
0.23,0.53
0.24,0.4575
0.24,0.4504
0.24,0.6997
0.24,0.3637
0.25,0.6207
0.25,0.5954
0.25,0.5731
0.26,0.5587
0.26,0.5294
0.26,0.5461
0.26,0.5949
0.27,0.5737
0.27,0.4668
0.27,0.6345
0.27,0.4685
0.28,0.3745
0.28,0.5064
0.28,0.4598
0.28,0.6669
0.29,0.4967
0.29,0.5069
0.29,0.6122
0.29,0.5773
0.3,0.7809
0.3,0.5386
0.3,0.6915
0.31,0.4203
0.31,0.5336
0.31,0.4439
0.31,0.6749
0.32,0.6346
0.32,0.5208
0.32,0.5999
0.32,0.5555
0.33,0.5159
0.33,0.3617
0.33,0.5418
0.33,0.5278
0.34,0.4475
0.34,0.4249
0.34,0.7788
0.34,0.3809
0.35,0.5331
0.35,0.6985
0.35,0.3039
0.36,0.4803
0.36,0.5054
0.36,0.4413
0.36,0.4342
0.37,0.4653
0.37,0.4625
0.37,0.4353
0.37,0.4299
0.38,0.6815
0.38,0.5862
0.38,0.4284
0.38,0.6286
0.39,0.6877
0.39,0.5792
0.39,0.5893
0.39,0.5685
0.4,0.5434
0.4,0.5267
0.4,0.6555
0.41,0.508
0.41,0.4334
0.41,0.4066
0.41,0.5465
0.42,0.6025
0.42,0.4459
0.42,0.3849
0.42,0.3935
0.43,0.3934
0.43,0.4313
0.43,0.4584
0.43,0.4196
0.44,0.4529
0.44,0.5384
0.44,0.396
0.44,0.4439
0.45,0.3478
0.45,0.5714
0.45,0.5786
0.46,0.4914
0.46,0.5114
0.46,0.5808
0.46,0.5563
0.47,0.5004
0.47,0.4364
