epoch,learning_rate
0.0,4.9995000000000005e-05
0.0,4.999e-05
0.0,4.9985e-05
0.0,4.9980000000000006e-05
0.0,4.9975e-05
0.01,4.997e-05
0.01,4.9965e-05
0.01,4.996e-05
0.01,4.9955e-05
0.01,4.995e-05
0.01,4.9945000000000004e-05
0.01,4.9940000000000006e-05
0.01,4.9935e-05
0.01,4.9930000000000005e-05
0.01,4.992500000000001e-05
0.02,4.992e-05
0.02,4.9915e-05
0.02,4.991e-05
0.02,4.9905000000000004e-05
0.02,4.99e-05
0.02,4.9895e-05
0.02,4.9890000000000005e-05
0.02,4.9885e-05
0.02,4.9880000000000004e-05
0.02,4.9875000000000006e-05
0.03,4.987e-05
0.03,4.9865e-05
0.03,4.986e-05
0.03,4.9855e-05
0.03,4.9850000000000006e-05
0.03,4.9845e-05
0.03,4.9840000000000004e-05
0.03,4.9835000000000007e-05
0.03,4.983e-05
0.03,4.9825000000000005e-05
0.04,4.982e-05
0.04,4.9815e-05
0.04,4.981e-05
0.04,4.9805e-05
0.04,4.9800000000000004e-05
0.04,4.9795e-05
0.04,4.979e-05
0.04,4.9785000000000005e-05
0.04,4.978e-05
0.04,4.9775000000000004e-05
0.05,4.977e-05
0.05,4.9765e-05
0.05,4.976e-05
0.05,4.9755e-05
0.05,4.975e-05
0.05,4.9745000000000006e-05
0.05,4.974e-05
0.05,4.9735000000000004e-05
0.05,4.973000000000001e-05
0.05,4.9725e-05
0.06,4.972e-05
0.06,4.9715e-05
0.06,4.9710000000000003e-05
0.06,4.9705e-05
0.06,4.97e-05
0.06,4.9695000000000004e-05
0.06,4.969e-05
0.06,4.9685e-05
0.06,4.9680000000000005e-05
0.06,4.967500000000001e-05
0.07,4.967e-05
0.07,4.9665e-05
0.07,4.966e-05
0.07,4.9655000000000005e-05
0.07,4.965e-05
0.07,4.9645e-05
0.07,4.9640000000000006e-05
0.07,4.9635e-05
0.07,4.9630000000000004e-05
0.07,4.962500000000001e-05
0.08,4.962e-05
0.08,4.9615e-05
0.08,4.961e-05
0.08,4.9605000000000004e-05
0.08,4.96e-05
0.08,4.9595e-05
0.08,4.9590000000000005e-05
0.08,4.9585e-05
0.08,4.958e-05
0.08,4.9575000000000006e-05
0.09,4.957e-05
0.09,4.9565e-05
0.09,4.956e-05
0.09,4.9555e-05
0.09,4.9550000000000005e-05
0.09,4.9545e-05
0.09,4.9540000000000003e-05
0.09,4.9535000000000006e-05
0.09,4.953e-05
0.09,4.9525000000000004e-05
0.1,4.952e-05
0.1,4.9515e-05
0.1,4.951e-05
0.1,4.9505e-05
0.1,4.9500000000000004e-05
0.1,4.9495e-05
0.1,4.949e-05
0.1,4.9485000000000005e-05
0.1,4.948000000000001e-05
0.1,4.9475e-05
0.11,4.947e-05
0.11,4.9465e-05
0.11,4.946e-05
0.11,4.9455e-05
0.11,4.945e-05
0.11,4.9445000000000005e-05
0.11,4.944e-05
0.11,4.9435000000000004e-05
0.11,4.9430000000000006e-05
0.11,4.9425e-05
0.12,4.942e-05
0.12,4.9415e-05
0.12,4.941e-05
0.12,4.9405e-05
0.12,4.94e-05
0.12,4.9395000000000004e-05
0.12,4.939e-05
0.12,4.9385e-05
0.12,4.9380000000000005e-05
0.12,4.937500000000001e-05
0.13,4.937e-05
0.13,4.9365e-05
0.13,4.936e-05
0.13,4.9355000000000004e-05
0.13,4.935e-05
0.13,4.9345e-05
0.13,4.9340000000000005e-05
0.13,4.9335e-05
0.13,4.9330000000000004e-05
0.13,4.9325000000000006e-05
0.14,4.932e-05
0.14,4.9315e-05
