epoch,loss
0,2.5319
0,2.7831
0,2.597
0,2.7613
0.01,2.6908
0.01,2.6393
0.01,2.8652
0.01,2.9629
0.01,2.996
0.01,2.6122
0.01,2.8464
0.01,2.766
0.01,2.6811
0.01,2.418
0.02,2.7919
0.02,2.3392
0.02,1.6875
0.02,1.931
0.02,1.9304
0.02,1.7117
0.02,1.7841
0.02,1.6797
0.02,1.613
0.03,1.5319
0.03,1.5562
0.03,1.4635
0.03,1.1104
0.03,1.2547
0.03,1.1474
0.03,1.0011
0.03,0.9421
0.03,1.0532
0.03,0.8291
0.04,0.9137
0.04,0.7273
0.04,0.7698
0.04,0.6256
0.04,0.7929
0.04,0.7927
0.04,0.7184
0.04,0.6213
0.04,0.623
0.05,0.5733
0.05,0.3274
0.05,0.6633
0.05,0.5762
0.05,0.6503
0.05,0.614
0.05,0.4759
0.05,0.435
0.05,0.6764
0.05,0.3505
0.06,0.6002
0.06,0.4733
0.06,0.5541
0.06,0.4539
0.06,0.5848
0.06,0.502
0.06,0.5841
0.06,0.5444
0.06,0.548
0.07,0.3004
0.07,0.5489
0.07,0.5933
0.07,0.4589
0.07,0.5699
0.07,0.5527
0.07,0.5623
0.07,0.3126
0.07,0.3478
0.07,0.5244
0.08,0.361
0.08,0.4537
0.08,0.3338
0.08,0.4357
0.08,0.4098
0.08,0.3969
0.08,0.5061
0.08,0.482
0.08,0.4481
0.09,0.4789
0.09,0.3963
0.09,0.3202
0.09,0.4838
0.09,0.3476
0.09,0.3555
0.09,0.3782
0.09,0.3821
0.09,0.4359
0.09,0.3331
0.1,0.2658
0.1,0.3724
0.1,0.4233
0.1,0.4406
0.1,0.3363
0.1,0.3192
0.1,0.4554
0.1,0.4902
0.1,0.4379
0.11,0.3962
0.11,0.3901
0.11,0.3852
0.11,0.3734
0.11,0.2823
0.11,0.2708
0.11,0.4542
0.11,0.5066
0.11,0.481
0.11,0.2854
0.12,0.4447
0.12,0.4256
0.12,0.337
0.12,0.2728
0.12,0.4403
0.12,0.3675
0.12,0.1969
0.12,0.2982
